Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Month,Blank,Expiry _0,Open _0,High _0,Low _0,Close _0,Last _0,Settle Price _0,Number of Contracts _0,Turnover _0,Open Interest _0,Change in OI _0,Underlying _0,Blank3,Expiry _1,Open _1,High _1,Low _1,Close _1,Last _1,Settle Price _1,Number of Contracts _1,Turnover _1,Open Interest _1,Change in OI _1,Underlying _1,ClosingPrice,Del Value(Crores),5 Day Avg Del,CumulativeOI,Change in COI,BLANK4,~ PRICE,~ DELIVERY,~ OI,BLANK5,Longs,Shorts
2021-01-04,TATAMOTORS,EQ,186.5,191.8,193.0,188.75,191.15,191.3,191.13,63980597,1222876528555000.0,253278,9524998,14.89,1,,2021-01-28,191.35,193.6,189.45,192.0,191.85,192.0,11048.0,12083669000.0,71711700.0,347700.0,191.3,,2021-02-25,192.85,194.2,190.1,192.75,192.6,192.75,358.0,393160000.0,1219800.0,131100.0,191.3,191.3,1222876.528555,,72931500.0,72931500.0,,100.0,,100.0,,72931500.0,
2021-01-05,TATAMOTORS,EQ,191.3,187.1,193.9,185.05,193.0,193.2,188.96,75752593,1431393103785000.0,299902,14548984,19.21,1,,2021-01-28,188.15,194.3,184.5,193.55,193.2,193.55,14504.0,15693140000.0,69095400.0,-2616300.0,,,2021-02-25,188.2,194.95,186.2,194.3,193.9,194.3,404.0,437718999.99999994,1504800.0,285000.0,,193.2,1431393.103785,,70600200.0,-2331300.0,,0.98,,-3.3,,,-2331300.0
2021-01-06,TATAMOTORS,EQ,193.2,194.45,197.6,190.65,194.9,195.4,194.82,75621947,1473236558235000.0,302100,14274504,18.88,1,,2021-01-28,193.0,197.95,191.1,195.9,195.4,195.9,15583.0,17332504000.0,64609500.0,-4485900.0,,,2021-02-25,195.65,198.65,192.1,196.4,196.1,196.4,442.0,493650000.0,1607400.0,102600.0,,195.4,1473236.558235,,66216900.0,-4383300.0,,1.13,,-6.62,,,-4383300.0
2021-01-07,TATAMOTORS,EQ,195.4,197.0,200.35,195.1,196.5,196.75,198.02,66024848,1307391334950000.0,232249,7982287,12.09,1,,2021-01-28,196.8,201.2,196.35,197.3,197.25,197.3,12912.0,14620782000.0,64284600.0,-324900.0,196.75,,2021-02-25,198.8,201.85,197.5,198.15,198.15,198.15,567.0,644232000.0,1892400.0,285000.0,196.75,196.75,1307391.33495,,66177000.0,-39900.0,,0.69,,-0.06,,,-39900.0
2021-01-08,TATAMOTORS,EQ,196.75,198.75,201.5,197.1,197.85,198.15,199.44,53991568,1076812683590000.0,191216,7076664,13.11,1,,2021-01-28,198.8,202.3,197.55,198.55,198.2,198.55,10531.0,12006155000.0,63959700.0,-324900.0,,,2021-02-25,200.0,203.0,198.5,199.4,199.0,199.4,385.0,440958000.0,1983600.0,91200.0,,198.15,1076812.68359,1302342.041823,65943300.0,-233700.0,,0.71,0.8268278601239755,-0.35,,,-233700.0
2021-01-11,TATAMOTORS,EQ,198.15,199.9,225.4,199.65,223.2,220.65,211.45,182483100,3858552322680000.5,635889,25583098,14.02,1,,2021-01-28,200.0,224.9,199.75,221.4,223.65,221.4,34654.0,41830317000.0,68531100.0,4571400.0,220.65,,2021-02-25,200.9,225.55,200.9,222.15,224.65,222.15,1253.0,1520644000.0,2684700.0,701100.0,220.65,220.65,3858552.3226800007,1829477.200648,71215800.0,5272500.0,,10.2,2.109101070684731,7.4,,5272500.0,
2021-01-12,TATAMOTORS,EQ,220.65,227.0,252.4,224.1,237.25,237.8,238.18,390577839,9302949546045000.0,1303825,23171897,5.93,1,,2021-01-28,227.75,249.95,224.65,238.8,238.75,238.8,59962.0,81440856000.0,70469100.0,1938000.0,237.8,,2021-02-25,227.7,250.6,225.7,239.8,239.4,239.8,2535.0,3461286000.0,3807600.0,1122900.0,237.8,237.8,9302949.546045,3403788.4891,74276700.0,3060900.0,,7.21,2.7331162250051575,4.12,,3060900.0,
2021-01-13,TATAMOTORS,EQ,237.8,242.9,248.8,238.4,242.85,242.6,243.45,164649387,4008403585150000.0,612651,13997353,8.5,1,,2021-01-28,242.7,249.0,238.75,243.35,243.5,243.35,23827.0,33096726000.0,68616600.0,-1852500.0,,,2021-02-25,244.25,249.6,239.95,244.2,244.35,244.2,1069.0,1491388000.0,4092600.0,285000.0,,242.6,4008403.58515,3910821.894483,72709200.0,-1567500.0,,1.98,1.024951709205847,-2.16,,,-1567500.0
2021-01-14,TATAMOTORS,EQ,242.6,242.85,249.8,238.6,245.25,245.1,244.21,86819519,2120239763659999.8,379083,9427551,10.86,1,,2021-01-28,243.4,250.7,239.15,246.15,246.4,246.15,13192.0,18436891000.0,67317000.0,-1299600.0,245.1,,2021-02-25,243.4,251.6,240.35,247.05,247.25,247.05,807.0,1131933000.0,4098300.0,5700.0,245.1,245.1,2120239.7636599997,4073391.580225,71415300.0,-1293900.0,,1.02,0.5205096838597788,-1.81,,,-1293900.0
2021-01-15,TATAMOTORS,EQ,245.1,246.0,264.65,242.6,261.6,260.3,255.48,250038029,6387968819645000.0,907714,15930209,6.370000000000001,1,,2021-01-28,246.2,265.55,243.05,261.6,262.55,261.6,45909.0,67147355000.00001,71814300.0,4497300.0,260.3,,2021-02-25,247.55,266.45,244.2,262.65,263.65,262.65,2857.0,4191630000.0000005,5546100.0,1447800.0,260.3,260.3,6387968.819645,5135622.807436,77360400.0,5945100.0,,5.84,1.2438547493004541,7.68,,5945100.0,
2021-01-18,TATAMOTORS,EQ,260.3,261.65,262.45,241.15,244.5,245.95,249.46,173383224,4325133330350000.0,651158,13485876,7.780000000000001,1,,2021-01-28,262.25,262.5,241.75,246.3,245.0,246.3,27523.0,39227637000.0,64375800.0,-7438500.0,,,2021-02-25,262.95,262.95,242.8,247.0,246.1,247.0,1907.0,2729654000.0,6817200.0,1271100.0,,245.95,4325133.33035,5228939.00897,71193000.0,-6167400.0,,-5.83,0.8271531419529731,-8.66,,-6167400.0,
2021-01-19,TATAMOTORS,EQ,245.95,251.5,261.7,251.3,258.75,258.65,256.26,136861059,3507239305890000.0,522685,9668841,7.06,1,,2021-01-28,252.75,262.3,251.65,259.45,259.6,259.45,22119.0,32392353000.000004,63195900.0,-1179900.0,258.65,,2021-02-25,253.7,263.2,253.05,260.4,260.55,260.4,1728.0,2540943000.0,8327700.0,1510500.0,258.65,258.65,3507239.30589,4069796.960939,71523600.0,330600.0,,4.91,0.8617725502160667,0.46,,330600.0,
2021-01-20,TATAMOTORS,EQ,258.65,260.0,277.5,258.85,274.4,274.9,271.49,205145151,5569536279325000.0,828086,11869707,5.79,1,,2021-01-28,260.45,277.9,259.5,275.4,274.8,275.4,38063.0,58918666000.0,63788700.0,592800.0,274.9,,2021-02-25,261.95,278.9,260.7,276.45,276.0,276.45,3894.0,6061969000.0,12380400.0,4052700.0,274.9,274.9,5569536.279325,4382023.499774,76169100.0,4645500.0,,5.91,1.270996442536706,6.1,,4645500.0,
2021-01-21,TATAMOTORS,EQ,274.9,281.0,299.0,280.0,292.45,290.6,291.38,283614463,8263864723900000.0,1124524,30509002,10.76,1,,2021-01-28,279.9,299.25,279.9,290.6,292.1,290.6,45526.0,75584414000.0,57313500.0,-6475200.0,290.6,,2021-02-25,281.95,300.4,281.95,291.6,293.45,291.6,6484.0,10811567000.0,15714900.0,3334500.0,290.6,290.6,8263864.7239,5610748.491822,73028400.0,-3140700.0,,5.4,1.4728631547012088,-4.3,,,-3140700.0
