"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Jul-2021","EQ","307.00","308.00","301.05","308.85","301.85","302.15","304.33","360.75","101.30",27672567,"8,421,662,362.00",301520
"19-Jul-2021","EQ","308.95","310.30","306.00","311.25","309.10","308.85","308.28","360.75","101.30",21346348,"6,580,662,107.25",212078
"16-Jul-2021","EQ","311.10","315.45","310.50","310.25","311.10","311.25","312.60","360.75","100.60",25148606,"7,861,376,517.65",207808
"15-Jul-2021","EQ","310.50","312.85","307.60","309.55","310.10","310.25","309.95","360.75","100.60",23617599,"7,320,341,530.70",186448
"14-Jul-2021","EQ","310.00","313.30","308.65","310.95","309.00","309.55","310.72","360.75","100.60",21863250,"6,793,383,940.60",178728
"13-Jul-2021","EQ","310.00","312.25","308.15","307.45","310.65","310.95","310.09","360.75","100.60",25736308,"7,980,598,270.45",203069
"12-Jul-2021","EQ","310.80","312.00","306.10","306.30","307.50","307.45","308.40","360.75","100.60",32282319,"9,955,765,580.30",251579
"09-Jul-2021","EQ","305.80","308.85","301.85","306.35","307.35","306.30","306.02","360.75","100.60",48807214,"14,936,208,421.35",404151
"08-Jul-2021","EQ","314.80","314.80","305.00","317.10","306.15","306.35","309.60","360.75","100.60",87360324,"27,046,880,894.05",729702
"07-Jul-2021","EQ","316.00","319.10","306.25","316.90","317.25","317.10","313.64","360.75","100.60",112183313,"35,185,298,921.75",818147
"06-Jul-2021","EQ","348.00","358.20","311.50","346.10","316.60","316.90","330.49","360.75","100.60",164083830,"54,228,396,910.80",1126291
"05-Jul-2021","EQ","347.05","350.10","344.00","344.90","345.80","346.10","347.14","360.75","100.60",18399524,"6,387,277,797.05",160130
"02-Jul-2021","EQ","345.30","345.55","340.50","344.25","344.90","344.90","343.54","360.75","97.30",18304387,"6,288,348,486.95",125567
"01-Jul-2021","EQ","341.50","347.40","341.20","339.60","344.50","344.25","344.48","360.75","97.30",27944816,"9,626,455,276.75",201015
"30-Jun-2021","EQ","342.00","345.35","338.85","341.55","340.00","339.60","342.64","360.75","97.30",18277841,"6,262,630,345.30",144643
